zip_code,latitude,longitude,city,state_name,population,density,counties
601,18.18027,-66.75266,Adjuntas,Puerto Rico,16834,100.9,Adjuntas|Utuado
602,18.36075,-67.17541,Aguada,Puerto Rico,37642,479.2,Aguada
603,18.45744,-67.12225,Aguadilla,Puerto Rico,49075,551.7,Aguadilla|Moca
606,18.16585,-66.93716,Maricao,Puerto Rico,5590,48.7,Maricao|Yauco|Sabana Grande
610,18.2911,-67.12243,Anasco,Puerto Rico,25542,265.7,Añasco|Moca|Las Marías|Aguada
611,18.27698,-66.80688,Angeles,Puerto Rico,1315,47.7,Utuado
612,18.41283,-66.7051,Arecibo,Puerto Rico,63312,321.1,Arecibo|Hatillo|Barceloneta
616,18.41878,-66.6679,Bajadero,Puerto Rico,9625,341.4,Arecibo
617,18.44598,-66.56006,Barceloneta,Puerto Rico,22573,474.8,Barceloneta|Florida
622,17.98892,-67.1566,Boqueron,Puerto Rico,7577,93.9,Cabo Rojo
623,18.08429,-67.15336,Cabo Rojo,Puerto Rico,39406,388.1,Cabo Rojo
624,18.05905,-66.71932,Penuelas,Puerto Rico,21648,178,Peñuelas|Ponce
627,18.41905,-66.86037,Camuy,Puerto Rico,32733,272.6,Camuy
631,18.1852,-66.83169,Castaner,Puerto Rico,1431,176.8,Lares|Adjuntas
637,18.081,-66.94659,Sabana Grande,Puerto Rico,22882,251.2,Sabana Grande|San Germán|Lajas
638,18.28462,-66.5137,Ciales,Puerto Rico,17605,95.2,Ciales|Orocovis|Manatí
641,18.26742,-66.70212,Utuado,Puerto Rico,24299,111.5,Utuado
646,18.43251,-66.28429,Dorado,Puerto Rico,35926,658.9,Dorado|Vega Alta
647,17.96667,-66.94266,Ensenada,Puerto Rico,4702,114.8,Guánica|Lajas
650,18.34487,-66.58347,Florida,Puerto Rico,13767,167.6,Florida|Utuado|Manatí|Ciales|Arecibo|Barceloneta
652,18.45614,-66.60194,Garrochales,Puerto Rico,3924,235.2,Arecibo
653,17.99413,-66.90266,Guanica,Puerto Rico,8980,157,Guánica|Sabana Grande
656,18.04186,-66.79123,Guayanilla,Puerto Rico,18121,166,Guayanilla|Yauco
659,18.41036,-66.79691,Hatillo,Puerto Rico,37066,348.6,Hatillo
660,18.13412,-67.11399,Hormigueros,Puerto Rico,15483,528.2,Hormigueros
662,18.46622,-67.01508,Isabela,Puerto Rico,40480,378.7,Isabela
664,18.21064,-66.59066,Jayuya,Puerto Rico,14967,123.2,Jayuya|Utuado
667,18.01246,-67.0417,Lajas,Puerto Rico,23370,149.9,Lajas|San Germán
669,18.27019,-66.86727,Lares,Puerto Rico,27529,165.8,Lares|Utuado|Las Marías|San Sebastián
670,18.23782,-66.98852,Las Marias,Puerto Rico,8746,72.6,Las Marías|Añasco|Mayagüez|Maricao
674,18.42229,-66.4891,Manati,Puerto Rico,39385,350,Manatí|Vega Baja
676,18.37897,-67.08098,Moca,Puerto Rico,36683,289.9,Moca|Aguada
677,18.33535,-67.23155,Rincon,Puerto Rico,15304,405.6,Rincón|Añasco|Aguada
678,18.42949,-66.93016,Quebradillas,Puerto Rico,25039,331.8,Quebradillas|Isabela|San Sebastián
680,18.16307,-67.36122,Mayaguez,Puerto Rico,43173,259.2,Mayagüez|San Germán|Añasco
682,18.22415,-67.15309,Mayaguez,Puerto Rico,30414,720,Mayagüez|Hormigueros
683,18.10926,-67.03803,San German,Puerto Rico,29547,231.5,San Germán
685,18.33656,-66.97518,San Sebastian,Puerto Rico,40346,198,San Sebastián|Isabela|Moca
687,18.31707,-66.42029,Morovis,Puerto Rico,28659,284.7,Morovis
688,18.3807,-66.62496,Sabana Hoyos,Puerto Rico,11478,136.3,Arecibo
690,18.49363,-67.09734,San Antonio,Puerto Rico,5781,987.2,Aguadilla
692,18.40905,-66.33768,Vega Alta,Puerto Rico,33302,484.7,Vega Alta|Vega Baja
693,18.42633,-66.39811,Vega Baja,Puerto Rico,55570,483.1,Vega Baja|Vega Alta|Manatí
694,18.48327,-66.39269,Vega Baja,Puerto Rico,98,47.3,Vega Baja
698,18.07274,-66.85519,Yauco,Puerto Rico,33506,206.4,Yauco|Guayanilla
703,18.24739,-66.13143,Aguas Buenas,Puerto Rico,24475,304.6,Aguas Buenas|Cidra|Comerío
704,17.97442,-66.22888,Aguirre,Puerto Rico,6831,293.2,Salinas|Guayama
705,18.1294,-66.26653,Aibonito,Puerto Rico,24401,309.9,Aibonito|Coamo
707,18.01752,-65.92127,Maunabo,Puerto Rico,10487,193.5,Maunabo
714,17.9981,-66.05635,Arroyo,Puerto Rico,15797,406.5,Arroyo
715,17.99738,-66.56104,Mercedita,Puerto Rico,2040,62,Ponce|Juana Díaz
716,17.99942,-66.59868,Ponce,Puerto Rico,27166,1210.1,Ponce
717,18.00272,-66.61146,Ponce,Puerto Rico,15029,2445.5,Ponce
718,18.23145,-65.76067,Naguabo,Puerto Rico,23289,190.5,Naguabo|Ceiba
719,18.28879,-66.25316,Naranjito,Puerto Rico,29523,404.1,Naranjito|Corozal|Comerío|Toa Alta
720,18.21559,-66.42421,Orocovis,Puerto Rico,20816,143.2,Orocovis|Coamo
723,18.03139,-66.01122,Patillas,Puerto Rico,15978,134.1,Patillas|Maunabo
725,18.22052,-66.03962,Caguas,Puerto Rico,77244,721,Caguas|Guaynabo|San Lorenzo|San Juan|Trujillo Alto|Aguas Buenas
727,18.21142,-66.07374,Caguas,Puerto Rico,53258,911.3,Caguas
728,18.00697,-66.65995,Ponce,Puerto Rico,38590,967.7,Ponce
729,18.33524,-65.88677,Canovanas,Puerto Rico,47826,516.5,Canóvanas|Loíza
730,18.03256,-66.61384,Ponce,Puerto Rico,32267,1877,Ponce
731,18.09914,-66.63279,Ponce,Puerto Rico,10473,82.6,Ponce|Adjuntas
735,18.2525,-65.67534,Ceiba,Puerto Rico,11164,157.5,Ceiba|Naguabo
736,18.10736,-66.14994,Cayey,Puerto Rico,45867,322.6,Cayey|Cidra
738,18.31793,-65.66793,Fajardo,Puerto Rico,30093,392.3,Fajardo|Ceiba
739,18.17543,-66.16198,Cidra,Puerto Rico,34678,435.1,Cidra
740,18.33251,-65.63419,Puerto Real,Puerto Rico,2034,1880.9,Fajardo
741,18.16569,-65.75506,Punta Santiago,Puerto Rico,3627,615.1,Humacao
745,18.3466,-65.81382,Rio Grande,Puerto Rico,47494,301.9,Río Grande|Canóvanas
751,18.01205,-66.25871,Salinas,Puerto Rico,19570,124.4,Salinas|Cayey
754,18.1447,-65.97565,San Lorenzo,Puerto Rico,36576,282.5,San Lorenzo
